round,beatmap
Qualifiers 1,katter - DOPA BRAT (hi19hi19) [Stage 1: Absorption]
Qualifiers 2,Juka_Box feat. Souka - Macchi to Donchou (foxgirls) [Stage 2: Germination]
Qualifiers 3,Nanahoshi Kangengakudan feat. GUMI - FREEDMAN (Cut Ver.) (Hylotl) [Stage 3: Liberation]
Qualifiers 4,seatrus - Kokan Sensou (Toaph Daddy) [Stage 4: Pollination]
Qualifiers 5,seatrus - TEMP3ST (gzdongsheng) [Stage 5: Dispersion]
Qualifiers 6,SAVE THE QUEEN - EX-Termination (Fullerene-) [Stage 6: Eradication]
Qualifiers 7,Machine Girl - Psychic Attack (Cut Ver.) (Valedict) [Stage 7: Infection]
Round of 32 RC1,Isekaijoucho x KAF - Shin'en (Hylotl) [Nadir]
Round of 32 RC2,ptar124 - OCTAGRAM ~Dai Happyaku Hachijuu Hachi Ji Makai Taisen~ (2026 Remaster) (jh05013) [Challenge]
Round of 32 RC3,MEMODEMO - Extragalactic (Paturages) [HARD BRAIN]
Round of 32 RC4,IVE - After LIKE (Cut Ver.) (Miaurichesu) [In LOVE 1.05x]
Round of 32 RC5,Caravan Palace - Reverse (XingRen) [Jacknical is a Miracle]
Round of 32 RC6,Kou! - Sanzui (AutotelicBrown) [Triple Moist]
Round of 32 HB1,LeaF - Kyouki Ranbu (Hytex) [Euphoria]
Round of 32 HB2,Polyphia - Ego Death feat. Steve Vai (Cut Ver.) (rikan) [Identity feat. Razzy]
Round of 32 HB3,KOAN Sound - Forgotten Myths (Cut Ver.) (Alicia) [once forgotten]
Round of 32 LN1,Hyadain - Hyadain's Jojo Yujo (fvrex) [Helvetica Standard (cut)]
Round of 32 LN2,Natsume Chiaki - Hanairo Biyori (Cut Ver.) (Yuiesta) [Spring]
Round of 32 LN3,dark cat - ELINE (Toaph Daddy) [ECHOES (LN-Edit)]
Round of 32 TB,Christian McBride Trio - Cherokee (Live) (Cut Ver.) (-mint-) [American Express 1.1x]
Round of 16 RC1,Yuki Hsu - Ta Lang (Cut Ver.) (Yuiesta) [Waves ) 1.15 )]
Round of 16 RC2,Hanaya - Realize in Death (hi19hi19) [BRING BACK MIMA]
Round of 16 RC3,Feryquitous - CydraL (Cut Ver.) (0DZ0) [Tower of Sacrifice]
Round of 16 RC4,Kolaa - Steamtekk (AutotelicBrown) [2077]
Round of 16 RC5,Wolpis Carter - Espiazione (Cut Ver.) (Reihynn) [An elegy for what we once were.]
Round of 16 RC6,The Flashbulb - The Bridgeport Run (-MysticEyes) [Dauntless]
Round of 16 HB1,QIREXX - HEART2BEAT (wolfyou) [HAND2KEY]
Round of 16 HB2,ASA - Assault TAXI (V1do-) [Oi!]
Round of 16 HB3,ALEPH - SIGNALBURNERRR ([Crz]FolAH1217) [DISCONNECTED]
Round of 16 LN1,Camellia feat. Nanahira - Energy * Drin-ko Fein-chan! (Cut Ver.) (fvrex) [CRASH!]
Round of 16 LN2,EBIMAYO - NIGHTMARE INVITATION (Ballistic) [ENTICEMENT]
Round of 16 LN3,Iyowa feat. Hatsune Miku & flower - Almost Ended (Micleak) [D.C. al]
Round of 16 TB,Ashrount & polysha - ARCADEA (Hytex) [CHRONOS]
Quarterfinals RC1,Rayuela - La Casa del Hombre (Valedict) [El hogar es donde esta el odio]
Quarterfinals RC2,bibuko - Sorairo Gahou ([GS]hina) [Yasuragi (MWC Edit.)]
Quarterfinals RC3,Jeff Williams feat. Casey Lee Williams - When It Falls (wolfyou) [Deterioration [1.05x]]
Quarterfinals RC4,yassu - before... (Miaurichesu) [. . . . . (1.05x)]
Quarterfinals RC5,Sunnexo - Internet Exploder (James May) [getting DDOSed on MW2's OP]
Quarterfinals RC6,Path to Nowhere - Neon Glitchwave (Cut Ver.) (AutotelicBrown) [Breakthrough]
Quarterfinals RC7,Is-m - Anti Function (Elekton) [bopis]
Quarterfinals HB1,dennoko-P - MIRACLE GREAT (V1do-) [Fog 1.1x]
Quarterfinals HB2,Sasuke Haraguchi - TAKER TAKER (-mint-) [KNOCKOUT KNOCKOUT]
Quarterfinals HB3,Samuel Marquis - Soul Arcs Rework (Hudson Lee & False Noise) (Cut Ver.) (Micleak) [A Train Of Pearls]
Quarterfinals LN1,"Koujimachi-Yousankan - Boot (Hytex) [Hello, World!]"
Quarterfinals LN2,kooridori & TRIAL - Miracletale (gzdongsheng) [Magical 1.05x]
Quarterfinals LN3,tn-shi - Synthesis. (elexire) [Admixture]
Quarterfinals LN4,Mili - String Theocracy (Micleak) [Unravel My Story]
Quarterfinals TB,NormalM vs. f2 - All in on Your Shadow (rikan) [Bargaining Chip]
Semifinals RC1,Yoko Kanno - Inner Universe (Hyphen Bootleg) (DourGent) [Challenge (Cut)]
Semifinals RC2,Ariabl'eyeS - Kegarenaki Bara Juuji (Cut Ver.) (Miaurichesu) [Sorrow 1.05x]
Semifinals RC3,Falcom Sound Team jdk - RELEASE OF THE FAR WEST OCEAN (Hylotl) [Great Vortex]
Semifinals RC4,"Lycoris vs. Pied d'Alouette - Kaleidoscope (koth) [Warm, bright, indomitable.]"
Semifinals RC5,PUKE GIRL - BAD END (Doshowz) [bad tech]
Semifinals RC6,AKINO from bless4 - Miiro (Cut Ver.) (0DZ0) [The Color of the Sea]
Semifinals RC7,d.j.xaneiro - Risoku (caracol) [Bust Card]
Semifinals HB1,Yu_Asahina - History Makers Rings (Hytex) [The World Remembers]
Semifinals HB2,Cansol - Jazz Invasion (V1do-) [CRASH! (w/ Yuiesta)]
Semifinals HB3,False Noise - Kek (Cut Ver.) (Alicia) [w]
Semifinals LN1,Iwami Takashi - Noraneko no Shinryaku (rikan) [Frenzy]
Semifinals LN2,DECO*27 - Telepathy feat. Hatsune Miku (Yuiesta) [Dizzy / 1.10]
Semifinals LN3,Camellia vs. Kaminose Tsukasa - Resonant Musical Automaton of Twin Agates (elexire) [Metamorphose]
Semifinals LN4,"Feryquitous feat. Aitsuki Nakuru - Kairikou (Abraxos) [abrax / ""REFRACT"" / scotty]"
Semifinals TB,penoreri - Vacant Rhapsody (-mint-) [The Last Petal to Fall]
Finals RC1,Chris Christodoulou - Yane no Mori (Cut Ver.) (koth) [Mercurian 1.05x (edit)]
Finals RC2,AKIAKANE - Hankyou no Barrier Seed ([GS]hina) [Reverberation (Cut ver.)]
Finals RC3,ELFENSJoN - Hexen Noir (Hylotl) [Imminent Blossom]
Finals RC4,Blacklolita - SUPER BEAST GIGA (Cut Ver.) (caracol) [3rd Climate Battery (cut) 1.05x (157bpm)]
Finals RC5,LeaF - Breakcore WTF!? (AutotelicBrown) [xD]
Finals RC6,Static Dress - sweet. (epic man 2) [famous last line]
Finals RC7,Lamberti phil - Nebura (XingRen) [Hard 1.05x]
Finals RC8,Nanahoshi Kangengakudan - MAKE A LOSER (Instrumental Ver.) (IceDynamix) [Anacrusis]
Finals HB1,celtix - Primordial Complex (rikan) [Luminance]
Finals HB2,Genesis - Omega ProtocoL (gzdongsheng) [Digital SingularitY]
Finals HB3,Rawtekk - Amber's Love Was Like A Marble (Billain Remix) (Cut Ver.) (Paturages) [Rolling in the Deep]
Finals HB4,"Grizzly Bear - Ready, Able (doctormango) [Gaze at the Pond]"
Finals LN1,"Adachi Kasuka feat. Chis-A - Yossha Uchuu, Ikou (MyZterioN-) [let's get out of this place, shall we?]"
Finals LN2,Umeboshi Chazuke - ICHIBANBOSHI*ROCKET (Hytex) [IN THE NIGHT SKY]
Finals LN3,BotchiBoromaru - TSUYOGARU GIRL feat. Mossa (NECRY TALKIE) (V1do-) [LOOK AT ME!!! 1.05x]
Finals LN4,"Crywolf - Decensus Ad Nihilum (Hylotl) [Do svidan'ya, do novykh vstrech.]"
Finals TB,Gardens - Counting Breaths feat. eili (rikan) [Fading Echoes]
Grand Finals RC1,KikuoHana - Hikari yo (elexire) [Reprieve (cut)]
Grand Finals RC2,Diao Ye Zong feat. Kushi - Yuumeikyou o Wakatsu Koto (Cut Ver.) (Yuiesta) [Sakura no Hana]
Grand Finals RC3,"Imperial Circus Dead Decadence - Yuuaku no Inori - Anima immortalis est. - (Valedict) [Mors certa, hora incerta]"
Grand Finals RC4,NGHTHYP - Acid Dash (Fullerene-) [Frenzy]
Grand Finals RC5,J-CORE SLi//CER - Now THAT'S what I call Mashcore! (James May) [MASHCORE BABY (Cut)]
Grand Finals RC6,Metal Scar Radio - Guided by Echoes (0DZ0) [Homecoming 1.05x]
Grand Finals RC7,yamazaki - tanshinjuu ([GS]hina) [Somnambulant feat. em2]
Grand Finals RC8,Various Artists - Legend-Changer (AutotelicBrown) [Kikuka-Shou]
Grand Finals HB1,Camellia feat. Camellia - Thule (-mint-) [Snaefellsjokull]
Grand Finals HB2,Camellia - Tera I/O (Cut Ver.) (-mint-) [Total CPU Overload]
Grand Finals HB3,Sydosys - Kronos (Alptraum) [Sein zum Tode]
Grand Finals HB4,Shining - 21st Century Schizoid Man (Cut Ver.) (Micleak) [Trepidare]
Grand Finals LN1,Suzumu feat. GUMI - Jinrui Gofun Mae Kasetsu (juankristal) [lleh gnimit]
Grand Finals LN2,CS4W - EX-ris (gzdongsheng) [Reminiscence]
Grand Finals LN3,UtataP feat. Yuzuki Yukari - Shiawase ni Nareru Kakushi Command ga Arurashii (V1do-) [in a Loop...]
Grand Finals LN4,Ludicin - Clinozoisite (Cut Ver.) (Toaph Daddy) [Epidosis (MWC Edit)]
Grand Finals TB,Gardens - Twin Bloom (elexire) [Ramification]
