round,beatmap
Semifinals LN3,Marmalade butcher - SIX BILLION MNSN ([Crz]Crysarlene) [YOMI NO KUNI]
Semifinals LN4,Camellia - The Cat Evolved Into The Microwave-proof Cat! (Silicosis 2) [Crazy Genetics (edit) 1.05x]
Semifinals TB,"Kou! - Ankh Natron Collider (elexire, V1do-, -mint-, Toaph Daddy, 11Bit) [Bastet's Charm]"
Finals RC1,black midi - Sugar/Tzu (Pope Gadget) [1.05]
Finals RC2,flashygoodness - Full Steam VENGEANCE!! (GaMetal Remix) (lemonguy) [OVERHEAT]
Finals RC3,Saitama Saisyu Heiki - Surface Tension (Hylotl) [Testimony (cut edit) 1.05x]
Finals RC4,Susumu Hirasawa - BERSERK -Forces- (Cut Ver.) (guden) [Duality 1.3x (156bpm)]
Finals RC5,Pendulum - The Island - Pt. II (Dusk) (Shoegazer) [Illuminate 1.35x (170bpm)]
Finals RC6,Hoshimachi Suisei - Wicked feat. Mori Calliope (Doshowz) [Challenge (edit) 1.05x]
Finals RC7,cYsmix - Abandoned Shrine Party (AutotelicBrown) [Charged Cry]
Finals RC8,Datach'i - LaByRa (Phil) [Thanatopsis 1.1x (218bpm)]
Finals HB1,"Kobaryo - Villain Virus [feat. Camellia] (Cut Ver.) (Hytex, rikan) [Malware 1.05x]"
Finals HB2,"Camellia - shadows of cats (cut ver.) (-mint-, MyZterioN-) [penumbrae 1.05x]"
Finals HB3,onumi - Spider Tank (Abraxos) [Encroach 1.2x]
Finals HB4,seatrus - ILLEGAL LEGACY (Toaph Daddy) [AFTERMATH 1.1x]
Finals LN1,"Kuhaku Gokko - Zettai Zetsumei (MyZterioN-, [Crz]Crysarlene) [dilemma]"
Finals LN2,Lon - Yuru Fuwa Jukai Girl (Cut Ver.) (Hytex) [Carefree 1.1x]
Finals LN3,Magnetude - I'm For You (Cut Ver.) (Paturages) [Parasocial]
Finals LN4,Camellia - Kisaragi (Cut Ver.) (-mint-) [Departure 1.1x]
Finals TB,"Kou! - Fermion Amplification (-mint-, elexire, rikan, Disguise, DourGent) [Superconductivity]"
Grand Finals RC1,LUZE - !!! IMPULSIVE <!!> WAVE !!! (Valedict) [VERMILLION SCOURGE]
Grand Finals RC2,"Himeringo - Yotsuya-san ni Yoroshiku (Miaurichesu, guden) [Cruel 1.35x]"
Grand Finals RC3,"Saitama Saisyu Heiki - Fuuga (Hylotl, lemonguy) [Rock Parade (280bpm)]"
Grand Finals RC4,Camellia feat. chiisana - re:||VERSE (elexire) [Inversion (cut)]
Grand Finals RC5,Tomato cat - Preztels (AutotelicBrown) [Braed]
Grand Finals RC6,Hoshimachi Suisei - soiree (0DZ0) [startale]
Grand Finals RC7,"Camellia - Backbeat Revenge (Cut Ver.) (Disguise, elexire) [Rousing Morale 1.1x]"
Grand Finals RC8,Terminal 11 - The Ever Increasing Death Toll of Birds In My Life (Pizza69) [Extreme 1.15x (216bpm)]
Grand Finals HB1,roer - orphic (-mint-) [eurydice]
Grand Finals HB2,"Camellia - POLYBIUS GB SPEEDRUN (Glitchless 100% WR in 0:03:57) (gzdongsheng, Yuiesta, -mint-, rikan) [FULL CLEAR]"
Grand Finals HB3,Juggernaut. - Catastrophe ([Crz]FolAH1217) [Calamity]
Grand Finals HB4,Kou! - TERABYTE (-mint-) [HARD DRIVE 1.1x]
Grand Finals LN1,yuikonnu x sana - Fuzzy Future (Hylotl) [Toward Radiance]
Grand Finals LN2,"Koko & Satsuki ga Tenkomori - Saigetsu (takehirotei frenchcore remix) (Yuiesta, [Crz]Crysarlene) [HAPPY TOUHOU 30th BIRTHDAY!!! (w/ Crysarlene) / 1.05]"
Grand Finals LN3,Mitsuki - ChallengeR (Toaph Daddy) [LeviathaN]
Grand Finals LN4,"Earth, Wind & Fire - September (yomoha remix) (-mint-, elexire) [Happy Day 1.15x]"
Grand Finals TB,"Raphiiel - Once Forgotten, Nothing Remains (-mint-, guden, elexire, 0DZ0, Toaph Daddy, rikan, MyZterioN-, [Crz]FolAH1217) [A Past Buried, A Future Condemned]"
